Symbol,Min_During_High,Max_During_High,Avg_During_High,Min_During_Close,Max_During_Close,Avg_During_Close,Min_After_High,Max_After_High,Avg_After_High,Min_After_Close,Max_After_Close,Avg_After_Close,Num_Increases_During_High,Num_Increases_During_Close,Num_Increases_After_High,Num_Increases_After_Close,Consistency_During_High,Consistency_During_Close,Consistency_After_High,Consistency_After_Close
ADM,0.264000363701783,1.48972455914088,0.710712872919167,0.0263352721195385,1.16915474420876,0.597745008164149,0.018861279390228,4.60230842228653,2.31778086777675,0.961036553096428,2.73430284049994,1.84766969679818,5,2,4,2,1.0,0.4,0.8,0.4
ANDE,0.739467401362727,2.44980168552913,1.47386243467559,1.45960732701562,1.52610873067006,1.49285802884284,0.343932834039902,5.39714936184718,2.02623624584019,0.401607963862307,5.19348518056102,2.79754657221166,4,2,5,2,0.8,0.4,1.0,0.4
AOS,0.502438208040851,5.24301907093213,4.75969055792396,2.14313582578228,7.52966951397595,4.04708195128056,0.315496075630893,3.9758820849539,3.87406877658774,0.14355220910717,3.22215770549454,4.83856595026027,4,3,5,3,0.8,0.6,1.0,0.6
APD,0.222137765012773,3.73356356957387,1.94604153822908,0.574393803918645,3.1978707105591,1.73046226732256,0.567686595077128,3.95602380877712,1.93780283957093,0.454853006435192,3.85541700997247,2.07026766696363,5,3,4,3,1.0,0.6,0.8,0.6
BDX,0.0556129121969271,1.8796419528227,0.907910487892741,0.900366571309017,1.10907287286565,1.01468967167272,0.367930431308705,1.76962134062834,1.27219880076405,0.190027219629971,0.976916628006668,0.70838408288751,5,3,4,3,1.0,0.6,0.8,0.6
BKH,0.267499335305047,3.76095714797069,1.48251433997443,2.06627951082956,3.71315032837403,2.8897149196018,0.791763636561331,3.93625692542326,2.40771745375481,0.461861282342371,3.07569769749131,1.68601063174085,5,2,3,3,1.0,0.4,0.6,0.6
BRO,1.28358719165292,8.35866560960532,3.54507072413163,0.376520998723337,5.2526584758894,2.04314498769952,0.379269410708834,5.49012048472176,2.93380892840813,1.77706972968929,4.81572924924938,3.58207383071509,4,4,5,3,0.8,0.8,1.0,0.6
CBSH,0.141527964612986,3.46553161430316,1.2464606689033,2.04081160511097,2.04081160511097,2.04081160511097,0.257261796207424,3.50404360476553,1.45655072114664,0.57937467813021,1.19368662467931,0.88653065140476,4,1,3,2,0.8,0.2,0.6,0.4
CL,0.298853030149997,2.44208467739506,1.3163691874721,0.149422130365514,2.1039453190726,0.978939459678212,0.562408812254078,3.34376733871904,2.04465835707429,0.832502660286718,2.81778339761548,1.65803406885215,5,5,5,4,1.0,1.0,1.0,0.8
CWT,0.904388816924178,3.32554096458834,1.83977451711404,0.20302807259488,3.32554096458834,1.85661129106246,0.50963479878715,4.47340153620076,2.75720963034727,0.38222306142737,3.95470199658229,2.40966965667138,5,3,4,4,1.0,0.6,0.8,0.8
ECL,0.139370695639016,1.21197355337922,0.556828672291392,0.490324708507451,0.490324708507451,0.490324708507451,0.973281545259889,1.22580787454522,1.09954470990255,0.459606320066493,0.536290458023296,0.497948389044894,5,1,2,2,1.0,0.2,0.4,0.4
ERIE,0.556141932199078,2.97236388915953,1.22725563563625,0.356603156294234,2.6904452037216,1.52352418000792,0.241422003968151,2.77011970532782,1.56847456868612,0.688899347088001,1.88760303096038,1.28825118902419,4,2,3,2,0.8,0.4,0.6,0.4
FAST,0.777632745503415,5.68250255862415,2.3496669285951,0.512907644498206,4.95450096084844,2.32543353740077,0.30909031455177,3.03575084784005,4.07255026640058,11.8099091253495,2.85611676825034,4.91427485261817,5,3,5,4,1.0,0.6,1.0,0.8
FELE,0.279520530694496,5.53764393828528,2.01914577226882,0.0139685624175009,4.39788126638459,2.31180101665303,0.44712520886233,8.65760602144204,2.79464904790544,0.322351246636917,8.5885321575551,3.02069490108992,5,3,5,4,1.0,0.6,1.0,0.8
KMB,0.137438892061256,2.54656655958625,1.5287759824425,0.676103843251743,1.88557241790832,1.28083813058003,0.652791144305139,2.79773561404306,2.04749450702802,0.349714200065922,2.18377509441559,1.48908708375328,5,2,4,4,1.0,0.4,0.8,0.8
MSA,0.225907195485746,4.35077373798093,1.87536527139437,0.491685208287602,3.80923227163446,1.97393767068833,0.634855197131477,4.23999962439878,2.09607368410385,0.0983348981172234,4.06769268329353,1.81699499577396,4,3,4,3,0.8,0.6,0.8,0.6
PII,2.41635590049748,4.07483715354887,3.06229259055434,1.36671770447482,3.80147332175414,2.40695439563412,0.0159006383009931,5.20588468095562,2.40960298194412,2.18674832715972,5.193516514898,3.69013242102886,3,3,5,2,0.6,0.6,1.0,0.4
PPG,0.201651403069493,1.7718150845047,0.940795395430509,0.0913854162971242,1.75391416955078,0.922649792923952,0.638549956029835,4.43720507191661,2.7287823469861,0.201651403069493,3.59164494026379,2.32982421830431,4,2,4,4,0.8,0.4,0.8,0.8
ROP,0.828566778273896,3.2399105436035,1.71280653469449,0.720005580357143,2.87912164674326,1.56802308531637,1.52952938988095,3.44061212780056,2.62645652937614,0.896535015009429,3.17805307018096,2.07996681505156,5,4,4,4,1.0,0.8,0.8,0.8
RPM,0.0307915953115207,3.82466394851918,2.30172515967883,0.406101587708272,3.67564774536365,2.227766587053,0.699400366431069,4.80566596950815,2.85614053908127,0.627570807380405,4.54489471946971,2.39096830268564,5,3,4,3,1.0,0.6,0.8,0.6
SYK,0.561507479820458,1.13343601594948,0.89841518955426,0.123847737970883,0.485698107812887,0.354579388905045,0.195723166502676,1.84731494022919,0.719512853992839,0.0409207020605404,1.72277550209639,0.667116749232562,5,3,4,3,1.0,0.6,0.8,0.6
TGT,0.138419729404853,7.01856336499986,7.66824324519004,10.2076124567474,4.86527412050582,7.53644328862661,10.8096852022062,3.58494069514449,7.49064828746994,11.7698260588674,8.5259566257571,7.44616536817844,3,2,4,3,0.6,0.4,0.8,0.6
UMBF,0.0734903956912747,1.69155386582553,1.02074067032757,0.583773417215088,0.792914614298676,0.688344015756882,0.145951705217598,1.308319700172,0.773898080502303,0.128197792836167,0.687200059526766,0.407698926181467,5,2,4,2,1.0,0.4,0.8,0.4
WST,3.08581641717193,6.80086210753064,4.97656167206262,2.07799073850758,5.71604377762621,3.70217003316965,1.804379672741,5.2028251362438,3.3052384389165,0.936703406417175,3.90903548226572,2.17967213972534,4,3,4,4,0.8,0.6,0.8,0.8
